TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
CXXC1	1	6.11921227471e-12	1.31958804297e-05	0.00343552920141	3.40926232918e-29	6.37813958197e-14	6.57409986187e-19	0.333897023752	6.59798562777e-06	3.14692012723e-09	6.70178356669e-30	7.44157996272e-10	0.38069720197	7.74436747407e-06	7.61674764067e-19	2.05122890208e-14
TBP	13	3.31157380476e-16	2.40550550959e-07	0.00418198966676	4.50773025047e-44	1.95754367098e-28	6.5011273713e-29	0.406638924109	6.38263729252e-19	1.83612307886e-05	1.05663805224e-33	7.67837997226e-09	0.093648466906	3.84770441718e-07	7.5881131974e-22	3.1267405871e-16
UBP16	3	0.00781848699219	0.0731291070556	0.335505573853	2.39186710909e-05	0.00726059003535	0.000132917629713	0.442912009757	0.00263855528865	0.300984713385	3.2247122751e-06	0.0469913926905	0.240240060936	0.277357295398	0.000580734930386	0.00273046200433
DNJC2	1	0.107973448043	0.299535062475	0.238661500161	0.0311776332772	0.110601740619	0.23831324602	0.225544273661	0.0153847942799	0.0908538972141	0.123619142345	0.114259797121	0.32570272934	0.358249949406	0.0480140015373	0.0199725074804
MYF5	1	0.142914775074	0.02590592534	0.156075701138	0.469944865348	0.0277886901542	0.460169859857	0.328975109497	0.244496217779	0.131926085946	0.0175758796575	0.345015826295	0.470515779669	0.153863086917	0.0759045866685	0.172589216844
MCRS1	2	3.3963110259e-13	2.23826451891e-05	0.156095380967	1.58789816982e-24	2.00504042948e-15	4.30381352447e-18	0.461330905687	2.14883605821e-07	6.07484858862e-06	4.62174738171e-33	1.55230339943e-16	0.0689249123489	5.02898360597e-08	1.63719462896e-25	2.31479653112e-20
ERG	7	6.17188420768e-15	0.000289588136606	0.00542930670743	1.29025328515e-37	2.89889053591e-19	5.82415475918e-33	0.474804553328	4.5650761416e-22	0.000245425861131	5.37165757357e-32	0.000157703339396	0.00215563533428	3.53580684277e-10	3.69238559924e-22	2.67904881371e-12
FIZ1	1	0.0431452539944	0.164280709902	0.226180977166	0.0563349145144	0.176067281621	0.105665746255	0.0223168485018	0.290294257485	0.000930193269929	0.000392390697658	0.0483491845724	0.412446313481	0.0792495924976	0.0136288040121	0.0390530250281
HAND1	1	0.0987010633318	0.416431955927	0.471429144198	0.250756412985	0.466253987772	0.228340295558	0.388270336603	0.235959310932	0.283772875629	0.00620802503405	0.00416102416247	0.0481204992056	0.0136886094427	0.0299687018787	0.119849078534
HAND2	3	0.350194301101	0.314932860011	0.356020156818	0.124212491079	0.397312939003	0.498176472928	0.358557955766	0.500129020196	0.307277930007	0.386514035437	0.316516736003	0.311238575654	0.471449908222	0.347131474336	0.440753307364
MITF	1	0.0692484655515	0.256731735031	0.487402391676	0.0738017405788	0.00752397295271	0.000169099456604	0.4537574186	0.0149475161998	0.34571135401	0.110220756047	0.278834139429	0.0498147459811	0.0239000446659	0.338710174757	0.170772637954
MYOG	8	7.85421359945e-15	0.293595851359	0.285966522342	3.63920020477e-15	2.2375481756e-12	0.0422150026226	0.381255558993	5.02579017879e-10	0.0732845414968	5.8767510944e-39	1.39952827625e-38	3.56301567414e-05	3.07207785709e-13	1.41708232908e-31	6.57552932214e-35
GFI1B	1	0.0936197233127	0.451963653359	0.129630540848	0.00182976438326	0.213510412909	0.275687271766	0.427873468094	0.0988895826123	0.166383648132	0.00107954666635	0.113805629508	0.470515779669	0.128470208876	0.0345484094004	0.348589873184
MYOD1	20	1.64780308961e-13	0.356539230834	0.0406947334739	4.16734473209e-12	1.53269117632e-11	0.37407335235	0.438098430169	1.14016611777e-09	0.444774822508	2.16081303496e-33	1.56173634153e-39	9.30912204766e-06	5.98628726772e-12	6.5069748065e-26	1.15453647356e-32
UBF1	3	2.01069490712e-08	0.00586634485765	0.00049004050742	5.90915139251e-20	0.000116599401491	0.494348031717	0.00277184611934	1.61508815e-07	7.82866686131e-07	2.09502810321e-25	1.65217265606e-09	0.029817944222	3.93124378215e-09	2.51380532878e-14	5.04376580863e-07
SPI1	113	3.81475481017e-14	5.56572551101e-06	0.445408517832	1.06560643216e-36	4.06886672274e-29	1.68652848982e-46	2.47987499296e-06	5.02026193178e-33	0.362492621872	1.66423242452e-10	0.0341575819651	2.2173552707e-16	0.00052861760342	0.00165194131535	0.153483103883
DMRTB	1	0.00077568621267	0.409602770222	0.0113395111625	6.59754447293e-11	0.000661415307267	0.0037453039674	0.461330905687	0.00169382362593	0.00257330537234	9.30501102258e-10	0.00299619575379	0.361120476752	0.11520277017	4.43763867286e-05	0.00363394240653
KLF5	4	1.17766176893e-11	0.019040366375	0.32126592218	1.39414033875e-25	7.33222061293e-14	2.55701169793e-10	0.482778572912	4.46980516273e-08	4.68363395146e-05	1.0804645724e-28	5.59434776568e-16	0.0758086986452	3.60158067773e-07	1.52858772908e-20	2.4209805675e-21
KLF4	16	7.14136846401e-14	0.0157686730262	0.365820001365	1.83656891705e-31	2.21686796274e-13	4.50609745469e-09	0.42330688097	2.37677066967e-07	3.0906453862e-07	1.55610114623e-34	4.88275864785e-21	0.00788567209261	2.72448643876e-09	1.26235565958e-25	1.32321368982e-27
KLF3	3	1.36288067363e-06	0.301712601356	0.064364430119	3.87913820331e-19	1.50006862026e-07	1.83031905567e-05	0.25091954934	0.000188213942164	5.25509379931e-06	4.4527055165e-17	3.416701615e-05	0.229893045591	0.00605419330907	1.90607313883e-09	3.68194788766e-09
KLF2	1	0.19400339662	0.0507190787107	0.227256684453	0.0790672096367	0.198427329924	0.00615091621759	0.4537574186	0.457694903001	0.267191282661	0.421739631455	0.442253776658	0.344433877865	0.278577102143	0.296064065324	0.327137173114
KLF1	3	1.23597236457e-11	0.0136675756055	0.00180502573142	9.77028166653e-26	1.99827237101e-11	1.99793646099e-14	0.0320926702191	2.41831537738e-08	5.11081782098e-12	3.4579788326e-34	1.56477855003e-09	0.481610933401	2.72735283368e-08	2.33069725481e-18	3.0704101181e-11
CNOT3	1	0.214082829891	0.458584316443	0.264352739611	0.417642754071	0.420039028096	0.17440333766	0.427873468094	0.238381168605	0.42172035448	0.0828213549416	0.06578463143	0.22305534705	0.430387643637	0.0993800288042	0.0512204185303
RYBP	4	2.99614077648e-08	0.310757740093	0.285966522342	2.79893863169e-09	2.68486806753e-06	0.133706096143	0.469147102652	0.00125131485605	0.0128697414416	5.4407458519e-19	5.02097148689e-20	2.87146859574e-06	7.61067253809e-09	2.58974368918e-14	4.50392120304e-20
P53	10	2.45900764429e-08	0.177090708945	0.379656124108	1.70662089787e-13	1.44830507948e-08	0.00918773398478	0.395975680284	3.92304748544e-06	0.0245600770579	1.71860609467e-21	4.18029330482e-17	0.00313905328494	1.15836652053e-07	2.79886066578e-14	6.93930094361e-16
BMI1	3	0.0352150731976	0.451963653359	0.12642652793	0.35070182181	0.0516210723139	2.96098148955e-06	0.48816448588	0.363784926813	0.385812230519	0.334700234787	0.00999822740509	0.0134070221492	0.0295005777773	0.0724758533131	0.000224045276717
REST	12	0.0185166833906	0.299265883511	0.471429144198	0.0270837641976	0.378588830496	0.415361317185	0.333311461577	0.152284838777	0.00882114569146	0.0252666550783	2.64109156082e-05	0.0175753874404	0.0293836931295	0.00381422668307	1.5751698759e-06
E4F1	2	0.148749239257	0.205715304218	0.0891161189805	0.464951425768	0.0837181156199	0.234868600046	0.460059840265	0.111359113915	0.446402514115	0.0439019291818	0.117376583857	0.462595015721	0.212052291646	0.0255344711369	0.0524794303418
