TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
HAND1	1	0.000202265750601	6.57674226818e-08	6.8524023893e-10	0.00117734609015	6.32553527967e-09	1.31428310653e-14	0.0130610664116	0.0719988025859	0.00340897914444	0.486367204425	0.372767822592	0.247140514317	0.102796277636	0.06156281706	0.0478407629625
HAND2	3	0.0784397408066	0.00990785797579	0.0235259923804	0.297713482518	0.308147525809	0.00262541704269	0.00882569879321	0.131233145737	0.414106909785	0.2611907145	0.133763046994	0.252816775676	0.0292465122836	0.357709055867	0.134157197005
MITF	1	0.00646702174657	0.27714666462	0.233431745996	4.33819892476e-05	0.0187429431739	7.28887411574e-05	0.257531655386	0.000247682697317	0.0787452576007	0.00981426771795	0.281939348963	0.172318724095	5.94040151417e-07	0.00201398956366	0.0203710515612
MYOG	8	2.0798191673e-20	0.356005447103	0.0507786896945	1.33404178257e-06	1.18125759898e-12	0.172276545098	0.00665935598519	2.57177341184e-07	9.26236762456e-09	3.40131374568e-60	2.93947571965e-57	2.60640993332e-10	3.36162332559e-27	1.99961181293e-39	2.07796749847e-48
GFI1B	1	0.00975132928802	0.0214300691892	0.0274445223448	0.142168272995	0.0454806574234	7.43428142886e-06	0.045593112951	0.193571517648	0.047840010851	0.0843088794609	0.110263197296	0.0129223006918	1.63894921987e-05	0.00184445674095	0.00162157170784
MYOD1	20	2.82694203913e-20	0.190859450577	9.17247066722e-05	8.61834655314e-06	1.64351743571e-16	4.87565587664e-06	0.243139877646	1.71769748862e-08	0.000735186152471	2.88845947067e-52	5.24067633244e-63	1.04332410854e-12	1.31885563973e-21	4.00971162745e-29	6.71462697042e-57
UBF1	3	8.68070622373e-15	4.3456070921e-06	1.39594084212e-08	1.16465673973e-20	6.24541703432e-08	0.0214244431581	5.66833929454e-08	6.20833340545e-13	7.88222618624e-13	1.40333525591e-46	2.24817099217e-14	0.00360453808367	1.41984102674e-27	1.04866933261e-25	3.10731997222e-10
SPI1	113	8.4312786714e-15	6.35475482743e-09	0.0328982437068	1.14803658669e-45	2.914984985e-20	2.22248800163e-34	0.190529073903	9.03944997656e-34	7.70377934109e-05	2.91530851916e-26	0.289406824043	4.07931131731e-10	1.26865162428e-08	2.93375285466e-08	0.347097978058
DMRTB	1	0.00531218597436	0.31516797304	5.16343468431e-07	2.73560344867e-07	0.486611454806	0.00419757333616	0.304423316957	0.00905778921303	0.00632584206925	0.00814200679877	0.0177072435428	0.000154122570376	0.0171803450594	0.179752446241	0.130929478388
KLF5	4	8.98591953286e-19	0.00337158930529	0.0629148784575	1.5856225631e-23	8.92981189336e-15	1.75894713699e-08	0.00103468263705	3.01401157681e-09	1.01914734099e-12	7.98263344338e-51	4.48043371999e-29	1.99048090141e-06	7.92810012336e-21	2.06735481441e-36	1.14233885926e-41
KLF4	16	1.48489310609e-23	0.325308610488	0.00160989065983	1.26556156012e-30	4.22046429599e-13	9.03509083723e-09	0.00145044658106	1.45881840449e-09	2.31137431813e-16	6.98459374016e-66	4.45308100734e-43	2.357412638e-10	5.70912271908e-29	7.4306771194e-50	6.58925028194e-45
KLF3	3	7.38438173772e-15	0.00541506050574	0.233018508791	3.43389472674e-26	6.18705105522e-17	2.44810957715e-15	0.357446747656	7.10359195736e-11	0.000133039316755	4.22972877531e-47	8.96592148816e-18	0.181471919594	3.21306940567e-15	3.02632247664e-28	9.66231373505e-19
KLF2	1	0.000152168388413	0.0903244173781	0.173871803914	4.74953649103e-06	0.022892554561	0.373264059222	0.485362689457	0.0201296748824	5.1141017772e-06	2.37638079021e-13	6.29122135408e-08	0.0671438858162	3.4139053529e-05	0.000118205019469	2.76648808174e-08
KLF1	3	2.60335748273e-12	0.443783886579	1.20566612915e-05	1.94167510806e-10	0.0014806952384	2.51108943953e-11	1.46000725985e-14	0.000793792235271	7.55579238077e-24	3.66148804182e-35	1.85731791371e-05	0.0203455424538	4.91714181848e-20	5.8923854891e-21	4.84408093589e-14
CNOT3	1	0.00518534374979	0.318636997788	0.34611625464	0.401752119803	0.0744919144935	0.0036593581327	0.0358407135914	1.03578055907e-07	0.0129537155144	0.110484480637	0.00917483233644	0.0789325974908	0.000832452849574	3.44412336735e-05	7.6253958536e-06
RYBP	4	5.59625849721e-15	0.0700943035147	0.158866203317	0.00753280946575	2.35506908875e-06	0.0543927367465	2.17520586935e-08	3.95051244341e-05	3.8716428474e-09	5.74349288538e-40	4.93613318166e-32	4.52391225367e-16	2.09052495169e-19	8.30429799891e-33	3.7125169962e-32
