TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
ING1	2	2.88812126087e-15	0.00610140530573	6.04794188004e-09	2.11115026273e-44	1.11370801183e-15	3.3378627634e-12	0.0534693226263	1.35009517311e-09	2.15744977326e-12	9.40945442023e-43	1.04089799189e-13	0.0937662593964	8.73132331486e-08	1.08010144152e-23	7.1919374006e-16
PHX2A	1	0.163845483753	0.466054537739	0.229226065651	0.0949315760648	0.224144696152	0.434662779656	0.173140949822	0.493023389918	0.0486288481003	0.0541894448152	0.1200076682	0.233193287839	0.331271337044	0.0709678388514	0.0687137753547
PSIP1	3	0.199909967977	0.219166150972	0.106963438833	0.35242700614	0.16332057281	0.360150473996	0.36689384714	0.397298447354	0.408251988267	0.0491879751426	0.0891256558635	0.167824570752	0.216696037823	0.208506262556	0.169358299053
TFAP4	1	1.12869231973e-10	3.4617645775e-05	0.158758420004	9.25897684534e-25	4.2326221402e-19	2.643329183e-21	0.00037770958402	1.70604353861e-17	0.466558746734	3.3488880578e-21	1.91220943882e-05	0.103580785136	5.5512748445e-08	1.38968326241e-13	6.21758366484e-05
PTF1A	8	1.06561414512e-05	0.0513383245211	0.0102922690884	0.00069612353155	0.00152406341195	0.00908786116021	0.324229339856	0.000455836832171	0.43104142205	6.23377536015e-09	2.49556422314e-14	1.68532668095e-07	5.09755184783e-05	3.75156031324e-09	1.49602035814e-13
RING2	44	1.2792653207e-11	0.0611853625217	0.255943329582	1.13135162844e-10	3.79126078679e-05	0.00738305507977	0.393971821881	0.00236241183336	0.016128159129	1.12715550659e-23	1.0249386053e-32	1.62657013403e-14	4.68116490878e-13	1.2299889623e-19	3.90323628208e-30
RING1	2	4.42276995457e-09	0.00025338808756	0.380912634825	8.27370835332e-15	4.99541252373e-12	6.90256956163e-08	0.444031216647	0.000128688277228	0.000433889795066	3.52221557813e-20	1.27573658771e-14	0.0394528668554	1.85426511217e-07	3.99305933463e-16	1.22281835719e-16
PRDM4	4	0.140699591682	0.224158205113	0.354318927004	0.00759266739393	0.286755019501	0.433968559178	0.480876799415	0.161542772467	0.0648993228411	0.0761589300432	0.137852968838	0.451700642503	0.0989321259882	0.0632364559257	0.106153178957
PRDM5	1	0.119428061659	0.338938902499	0.334525598635	0.428792646716	0.332626045383	0.158998155932	0.262942854197	0.491407056406	0.11105217412	0.0133512356667	0.00961640882392	0.108180094488	0.0783580948469	0.0539689622662	0.0554119493112
CBP	14	3.39205727356e-09	0.000325268749439	0.0011094868018	4.62513574228e-20	6.95387916301e-19	1.53507235409e-12	0.239343027968	1.56598473638e-17	0.192482198211	1.72407874594e-10	3.97841232595e-07	0.310869961359	0.000600856360407	1.25197947056e-08	1.29487284433e-17
PRDM1	3	0.0260193083736	0.0130207501159	0.0838847743125	0.00145192325149	0.00045252171721	0.0585138322194	0.051930140836	8.90947565857e-06	0.00739614589103	0.194244270352	0.40288313762	0.226637342308	0.237298282716	0.278866249189	0.386503347588
TF2L1	1	0.000158728261477	0.0697204715147	0.0582588468342	3.89902398508e-07	2.53511782754e-06	0.00050643144038	0.494211644966	0.0149317122878	0.00990481122712	1.57474023393e-09	2.60297576137e-07	0.0409053548131	0.00250352258197	5.33132186973e-06	1.93752939254e-07
PRDM9	1	0.266204176316	0.432568527748	0.224969312097	0.357638118354	0.220918957898	0.392216937885	0.218340189846	0.0934536404196	0.15242672756	0.336288970367	0.279673303664	0.285842694574	0.339938492223	0.368975163751	0.283757617422
ASH2L	2	4.59151642272e-13	2.41841492367e-11	9.44500815097e-05	7.38235653264e-34	3.09457343825e-28	1.58459147627e-36	0.00164515275097	1.00377538316e-19	0.0349063824386	6.41734284778e-18	0.28507066147	1.0810126517e-08	0.000944526603314	7.11298767899e-09	0.0292272064696
SMAD4	2	0.00864228636174	0.0361783734938	0.000958118047498	0.000199960374362	0.002155093977	0.0070495156149	0.00398796346204	1.13434454026e-05	0.0513553969649	0.00898312908788	0.0190879366171	0.413320205174	0.141804290573	0.0658108164518	0.0801348610296
SMAD5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TLE1	1	0.173353920718	0.376879738404	0.133519153363	0.467627308893	0.407114757624	0.0487482945829	0.416745471262	0.166319575203	0.258347315357	0.293178367055	0.124623133613	0.0183818780119	0.33515853851	0.0539122126999	0.218108574189
SMAD1	8	0.0259847790338	0.170057792905	0.224910882588	0.000344243945689	0.00063763366841	0.0627672735393	0.212860606523	0.139018448654	0.000426532612443	0.000106046333709	0.101436168965	0.167338889093	0.434404266058	0.0462375726974	0.266068895074
SMAD2	2	0.185771773731	0.446025867517	0.0961904180765	0.322982145476	0.469806268788	0.261308183113	0.459805113277	0.337925511836	0.326488127332	0.172056257582	0.102064035468	0.12898935937	0.162620972556	0.0681340806619	0.0269199208384
