Gene Symbol	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
H13	0.007898129	0.028457199	0.144636652	0.265132196	0.328071328	0.05496053	0.483212229	0.186005042	-0.17189681	-0.024819654	0.046535863	0.025483417	-0.102276091	0.073519792
Hnf1b	-0.059746807	0.023557381	0.272949332	-0.038664765	0.079740497	0.180131738	0.0568558	-0.027720869	0.128278386	0.095120771	-0.024630131	0.093618278	-0.028022051	-0.258754873
Gga3	-0.113975709	-0.102246026	0.024198068	-0.048878039	0.036340752	0.077213548	0.299527168	0.219624009	-0.178599237	-0.228447735	-0.253859522	-0.204045186	-0.279989862	-0.096701164
1700018C11Rik	-0.06399539	-0.000147117	-0.026528959	0.036309611	0.036190127	0.092169109	-0.000308853	-0.031959968	0.026725399	0.032120208	-0.061650246	0.10452837	-0.00046755	-0.05733399
Olfr1472	-0.122560217	-0.028614772	-0.012239446	-0.090492737	-0.061859036	-0.067953633	-0.103049608	-0.082095023	-0.062394635	0.002919668	0.000227768	-0.165066723	-0.002055731	0.03665268
Zscan10	-0.833802945	-0.222859697	-0.398090916	-1.31678905	-0.864373108	-0.089713101	-1.309625079	-0.142198272	0.867192368	0.281761964	-0.658431609	-0.235208264	0.62459406	0.026325222
Arl2	-0.011641253	0.068285517	0.030879543	0.134395873	0.236979889	0.042754375	0.005639691	-0.022441376	-0.182422903	-0.270637001	-0.094512486	-0.20063223	-0.403115815	-0.625792752
Adamdec1	0.324476468	0.757065234	-0.331468524	0.346133327	-0.077476834	-0.093802146	-0.528107219	-0.082605472	0.081054246	-0.289238391	-0.25015129	-0.176584732	-0.361283662	-0.14094239
Sorbs3	-0.028449627	0.458518679	0.148835652	-0.107020967	0.279234769	-0.158228044	0.257252975	-0.122548884	-0.573003611	-0.628737684	-0.347866913	-0.449262069	-0.867125032	-1.070446605
A730011C13Rik	0.157708325	-0.139460272	-0.032230386	0.278870829	0.04228348	0.066976176	0.395689817	0.344031717	-0.146457418	0.040698296	-0.042427358	-0.22465518	-0.334333561	-0.264395451
Gm1337	-0.053545252	-0.122816135	0.130047331	-0.303265952	0.05105281	-0.015659048	0.126542791	0.096208375	-0.0101148	-0.160497064	-0.391721658	-0.23764057	-0.51862185	-0.604626613
Per3	-0.026940016	-0.024277506	-0.376522259	-0.315807004	0.028281471	-0.377651725	-0.134053081	0.010989897	-0.242987657	-0.968408966	-0.647488809	-1.268694447	-1.023838716	-1.494595419
