TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
UBP16	3	0.00508635952747	0.0378531721543	0.25199867992	1.44354975306e-05	0.00476576174126	6.88009757322e-05	0.354012842894	0.00160986743383	0.235351482933	1.83254574224e-06	0.0328111706671	0.164568226847	0.230927439781	0.000337696082867	0.00165992844316
DNJC2	1	0.075217429042	0.217063954965	0.145615056266	0.0236922543627	0.088844561669	0.195269884404	0.0829645235713	0.010166163621	0.0485863615586	0.105103499879	0.0845623168121	0.256114260736	0.318085240039	0.0356403491587	0.0135056383183
MYF5	1	0.104156336522	0.0114123019119	0.0730966466769	0.458558536011	0.0197091590962	0.444959357919	0.162109178014	0.215953707774	0.0796205893155	0.0131238396561	0.321457476923	0.438388050221	0.118955822705	0.0593527054346	0.144838087263
MCRS1	2	6.16799325001e-14	2.95805883557e-06	0.0735779989578	3.21776721637e-25	4.46055249729e-16	7.67861003264e-19	0.402394358264	8.18829599273e-08	7.35939806992e-07	2.95221749052e-34	1.70958524166e-17	0.0329442862989	6.7570044045e-09	7.21231114081e-27	2.44736197123e-21
ERG	7	8.9306196058e-16	5.86830585194e-05	0.000980623678435	7.67331248879e-39	4.08654172463e-20	2.69399228949e-34	0.435538735585	3.4187794893e-23	5.08150461373e-05	4.02282725774e-33	7.91990338816e-05	0.000555527167644	1.47974295182e-11	3.0092129333e-23	7.08118629174e-13
FIZ1	1	0.0263248393828	0.0955288709563	0.135011111921	0.0444226858946	0.149308157322	0.0791329377242	0.00422742064131	0.260881182938	0.000231523875555	0.000258064575684	0.0338657284009	0.364246476648	0.054811392168	0.00924597276589	0.0275263612533
HAND1	1	0.0731478465776	0.362963056103	0.445408467128	0.218169125835	0.454965149003	0.185086406972	0.229772286785	0.206854197689	0.21814258501	0.00451158059595	0.00245628739106	0.0218344115338	0.00829155858316	0.0215193762389	0.0944358977469
HAND2	3	0.299015561813	0.240734261083	0.274464878604	0.101230444272	0.37674845262	0.492945074594	0.194284707309	0.495722597111	0.242302861107	0.366081575414	0.289326972338	0.235142800549	0.46106554901	0.324193271186	0.423278506632
MITF	1	0.050955285056	0.180390800605	0.471298788427	0.0590088806831	0.00495521566709	8.90193174634e-05	0.367109474959	0.00984428930339	0.288600447511	0.0910413733872	0.247741560677	0.0229323390089	0.0148980454636	0.313747637869	0.142561299085
MYOG	8	8.30473433624e-16	0.210173241611	0.196901109969	1.42682298777e-15	6.50564667795e-13	0.0291971604042	0.217129796269	1.39482282495e-10	0.0371265298332	1.03555085364e-40	1.84959684086e-40	6.27844171655e-06	2.70667652607e-15	6.24265343207e-34	2.89670895248e-37
GFI1B	1	0.0701164339883	0.418812779601	0.0576770247826	0.00124133795164	0.186233752229	0.23075146095	0.316565237983	0.0742760961912	0.107746239099	0.000732379676728	0.0839755195709	0.438321599449	0.0967771176993	0.0250361821426	0.325555300066
MYOD1	20	2.47806221411e-14	0.287384264634	0.0122801288236	1.87255137741e-12	4.82763960825e-12	0.340291397622	0.338250946429	3.34013422166e-10	0.398729851896	1.33266002156e-34	1.71997394441e-41	1.41482251385e-06	1.05485238198e-13	2.5798578528e-27	7.62909564023e-35
UBF1	3	4.73733732572e-09	0.00205451284662	2.48258406843e-05	1.56189023591e-20	6.60045070111e-05	0.487814797818	0.000329690948115	5.97653764758e-08	7.06994143863e-08	3.50709550317e-26	4.43975911981e-10	0.0118220924228	3.46365090939e-10	6.09071775695e-15	2.06638863526e-07
SPI1	113	5.36769118814e-15	5.7618744277e-07	0.401260096461	7.27616726806e-38	8.96226150383e-31	7.42964092431e-49	9.28587552431e-08	1.13275542052e-34	0.309302972872	7.25810616859e-11	0.0231729851217	9.27968064828e-18	0.000228213767115	0.00100426388334	0.126437623022
DMRTB	1	0.000429898148838	0.352229796276	0.00247271278654	3.10985576477e-11	0.000393352715776	0.00225213212137	0.401349012054	0.00100734004185	0.000783435341976	4.28358436943e-10	0.0017488807814	0.299873171224	0.0834839457841	2.29701561261e-05	0.0022492022384
KLF5	4	2.92379573219e-12	0.00792649613407	0.23726542616	2.70229845397e-26	1.90573134874e-14	7.60344888152e-11	0.453003682953	1.58510711718e-08	7.42778952655e-06	1.38032918941e-29	6.5308465106e-17	0.0372364312729	6.66371755351e-08	1.58245866226e-21	2.39965034224e-22
KLF4	16	1.114912742e-14	0.00639082783442	0.287565407832	1.9821999325e-32	6.05488166036e-14	1.52850001767e-09	0.287095297808	9.16156095136e-08	2.31458024517e-08	6.85507112878e-36	2.68874374881e-22	0.00264013691206	2.19634124724e-10	5.28298624052e-27	3.95662652005e-29
KLF3	3	5.42286936966e-07	0.222744053896	0.0222581839839	1.13935474655e-19	6.64127296635e-08	8.78875669904e-06	0.102864570698	9.86672207818e-05	5.90329920186e-07	1.44173504609e-17	1.58793841578e-05	0.154835736869	0.0033204716607	6.54950241538e-10	1.24894267555e-09
KLF2	1	0.154338894473	0.0250243912581	0.136153784518	0.0633930931889	0.171766389119	0.00375287178915	0.378452510112	0.443580963261	0.201276252577	0.406876560743	0.430564249522	0.279188693953	0.233170261706	0.26737063168	0.303358479914
KLF1	3	2.24487574484e-12	0.00541886257486	0.000190839724908	1.87227864535e-26	6.42616225039e-12	4.4032898991e-15	0.00650336048492	8.41616364816e-09	7.880115583e-14	1.67567256205e-35	4.17044503423e-10	0.466759494926	3.60443105773e-09	3.336901356e-19	8.9040284148e-12
CNOT3	1	0.173974089925	0.434341973724	0.174682427056	0.397404558939	0.39968471396	0.136372653897	0.316397790978	0.209502392673	0.373417582601	0.0669503023426	0.0472374225687	0.148867335146	0.407635873929	0.0801169395206	0.0372025956492
RYBP	4	9.65190811256e-09	0.236832991349	0.199042777665	1.45495488344e-09	1.32469261482e-06	0.101604852796	0.422645737852	0.00073314923284	0.00498915086722	1.48601869083e-19	3.0966343972e-21	4.11113345205e-07	7.04071027753e-10	6.3317521916e-15	5.05947095496e-21
P53	10	8.37033997483e-09	0.105318263029	0.311083872617	7.29260912305e-14	5.86978270099e-09	0.00568668116679	0.240453263112	1.70229153002e-06	0.010657125948	4.01260453823e-22	3.77515474664e-18	0.000898847856923	1.86257171804e-08	6.90467829444e-15	1.36034754181e-16
BMI1	3	0.0242207470654	0.419111669744	0.0545806155821	0.312850744126	0.0388863584391	1.3304850746e-06	0.469885198964	0.335739833337	0.337373250035	0.308897353251	0.00627642028734	0.00481353438397	0.018649043661	0.056512008971	0.000123372949734
REST	12	0.01158730515	0.215685450638	0.446507779747	0.0204023069506	0.355239739628	0.390659212418	0.167389897003	0.121089926869	0.00314763348462	0.0190334714467	1.19256336997e-05	0.00654237990622	0.0185104322357	0.00239439340237	6.86968359972e-07
