TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
KANL3	4	1.7846637735e-17	1.07557446264e-05	3.63238376368e-06	1.78488198863e-35	3.96280318304e-11	9.53532636055e-33	4.00477499371e-05	2.87654085851e-09	1.51824875524e-19	5.52467036198e-35	3.9775360069e-10	0.0458844685014	1.01557182314e-16	2.51690011393e-34	2.79933911588e-21
SMC3	12	2.14471713414e-11	0.00147524835717	0.00386020634344	4.3497818855e-23	1.24400639223e-18	1.87430060853e-06	9.92489200429e-06	1.34869951653e-29	7.51984798807e-05	6.73781802226e-22	8.77188212156e-12	0.276022615264	9.11595345342e-06	1.79752334829e-12	2.80344395431e-11
SMC5	5	4.09619945637e-10	0.0162834931149	0.0248750989172	2.65870485668e-25	1.54923461969e-14	7.82687275906e-19	0.00392385520543	6.74496263111e-24	0.0247837163992	1.48414424627e-23	0.413960745572	2.70568216939e-05	5.8684701359e-10	1.14145102713e-06	0.0392549261465
PO2F2	1	6.8592485912e-05	0.00170538697329	0.00978840489217	0.0075897715535	0.0065814254156	0.454738749036	0.0750141145325	0.248597780158	0.217502572154	0.204042575534	1.36935436308e-05	1.4294363456e-11	1.67999254839e-14	3.12656736241e-09	1.58177554676e-08
ELL3	1	3.38317729353e-05	0.0334653456822	0.411730946603	8.26502000083e-08	0.125102140614	0.161110765172	0.00403508233793	0.306146858468	0.000218037243826	4.99348081517e-08	9.21724983946e-11	2.59839246264e-07	2.00816978174e-08	1.8654472005e-07	9.29177730808e-08
ELL2	3	0.00302245295457	0.141049740936	0.189291691856	0.100533401154	0.374293121894	0.324450386507	0.00184439818592	0.201447313546	1.85339872094e-08	6.04063510097e-06	2.51592752468e-06	0.000248097248732	0.0220751001732	0.0128052283444	0.00221912425031
MECP2	8	5.53997594488e-06	0.051503834241	8.47649857468e-09	0.000172530285689	0.100748734051	0.0221780362628	0.290561651695	0.00151552011727	0.285875286896	3.18158392269e-08	1.1726279413e-10	5.10802657298e-10	0.000371166263232	1.02194717941e-07	1.67492704108e-17
RXRA	33	2.91544325772e-09	2.06489387168e-10	0.147186625225	1.74287446194e-14	2.94438999261e-05	1.36151233169e-25	3.61324005422e-08	8.62138901227e-13	2.97712842849e-06	6.88616218089e-12	0.139251782577	0.421006831083	7.98078314141e-06	6.08591968914e-07	8.30050847961e-18
SPIB	2	2.27548618271e-05	0.313852578679	0.0426849173916	2.00613450282e-05	2.27846927947e-05	4.0360994981e-06	0.129050286378	1.922687186e-11	0.00120534987355	9.92990427003e-18	0.101656684007	0.0217167132007	2.46704870394e-08	7.98751752131e-06	0.0312484318426
OLIG2	2	3.4986859256e-10	0.41334050265	1.26223049496e-08	0.285133463712	7.78730354709e-05	0.469172096365	0.49095236547	0.000424832435211	0.343536760405	6.62359585145e-24	1.15488630866e-32	1.42521308938e-19	3.72061298964e-15	8.55309877963e-15	3.04771410708e-13
YAP1	1	0.0182706119556	0.000341599939091	5.99150166514e-05	0.0142148308793	0.00945387195432	0.000592016730452	0.337638798801	0.28999772144	0.136329985212	0.0241258118337	0.44662486781	0.45326276574	0.421325593266	0.182536393185	5.65749195441e-05
MSGN1	1	0.00639255417149	0.202248613947	0.170713256942	3.76971843733e-05	0.227931016476	0.408002203082	0.159757475597	0.00113976199851	0.0196900923822	3.92361426632e-05	0.00633235169207	0.0021089176332	0.103939510592	2.28101093304e-05	0.000352997871014
CXXC1	1	3.38084644992e-13	0.000973167605176	0.37872492977	2.19844348193e-28	7.70722607748e-07	3.56858744054e-14	8.0357377659e-08	0.00785212354432	2.03492624866e-29	4.59644942412e-30	1.76068973328e-08	0.0612113396663	7.3327571526e-10	9.58003864172e-20	2.5597741531e-20
TBP	13	7.28177275716e-20	9.05492238721e-09	0.000427924024263	7.10324963681e-53	5.99023978999e-20	4.09184586198e-33	0.000320452259758	2.43361068638e-25	2.84390637178e-15	1.02043292497e-46	2.674353776e-07	0.406261890905	1.8457811615e-12	2.86781093722e-25	1.34207839164e-21
UBP16	3	0.00893450563134	0.00349619108004	0.322085731054	5.7816417475e-06	0.385434457954	7.89472349265e-05	0.00447889614395	0.0830730753639	0.00077661159876	0.000267743895201	0.421624217132	0.0492848647066	0.0988061067821	0.0447598622854	0.014662759647
DNJC2	1	0.0657487120297	0.0983756496404	0.319535360468	0.0310898498312	0.0323633415992	0.353317747995	0.00169651109051	0.00275454707516	0.00209103476523	0.17537442434	0.33465623331	0.229416075073	0.273324303675	0.289202574838	0.242739212701
MYF5	1	7.54937804236e-09	2.95749356305e-09	2.52356939254e-13	3.23574624627e-08	3.28885188692e-12	4.12014108427e-09	1.91701167746e-07	2.04716289677e-09	0.357202020951	1.0867908485e-10	5.13330863778e-11	8.93900432378e-13	2.46704870394e-08	8.1638684362e-05	4.23925193712e-06
MCRS1	2	2.91675227118e-16	0.000410366122835	0.064599279326	3.39894514168e-21	3.64985868768e-08	1.52700771425e-13	0.00036493452472	5.86617413241e-06	1.13823004788e-16	3.99418880053e-40	3.9897555814e-20	2.27291924144e-08	3.11187113448e-17	4.03182005029e-34	5.80031309177e-32
ERG	7	1.10245082641e-16	3.11070422021e-05	0.305431047703	1.82589790714e-51	9.49881623456e-14	2.76916906288e-39	6.84698098185e-06	3.34795080221e-19	4.49995591588e-17	2.96377661846e-32	0.027650037245	0.00357731459955	2.83883672386e-13	1.32516973409e-17	7.54683996263e-12
FIZ1	1	0.00025578210564	0.222311918731	0.46938791551	8.38995343364e-06	0.000274073124019	9.33775291173e-14	0.00584450394193	0.0140598860283	2.38594999836e-08	1.25291000273e-05	0.0179545014156	0.509695668447	0.00854859038165	7.12633516909e-05	0.00167210471034
HAND1	1	0.000433130317968	5.97168197951e-07	1.55549534237e-08	0.00175250860632	2.20907155152e-08	5.73735125352e-14	0.0239101780277	0.0907984899277	0.00573213530214	0.497321420741	0.394490889177	0.290130592277	0.123138548935	0.0759497797425	0.059833901887
HAND2	3	0.102941421464	0.0204008084542	0.0464382632203	0.317281504843	0.347143862822	0.0041386782548	0.0171233643253	0.157618645938	0.434190616726	0.281664095921	0.159811640356	0.295821691126	0.037297518474	0.380327661273	0.156977751135
MITF	1	0.00922022446439	0.316938503117	0.298529613189	7.08468457496e-05	0.0274493425838	0.00014450431653	0.295998408975	0.000437540640397	0.101852840315	0.0125512043492	0.309179865771	0.221622381697	1.34847114372e-06	0.00296867292825	0.0265760270368
MYOG	8	1.59244765792e-19	0.389461380686	0.0853834263753	2.39389315923e-06	6.87552499919e-12	0.199016670418	0.0134371005212	6.21055919667e-07	3.41879260289e-08	2.57366073423e-58	2.22420329454e-55	1.57774681297e-09	1.90772123727e-25	5.34013978277e-38	2.35849311076e-46
GFI1B	1	0.0146680946601	0.0392308524673	0.0524013868933	0.164654071275	0.0627605424627	1.61491089412e-05	0.0692283387282	0.224760790313	0.0646409670427	0.096171435365	0.134931244131	0.0229168926331	3.22113829359e-05	0.00272763309574	0.00236718185003
MYOD1	20	2.10496501905e-19	0.240028228703	0.00038918707317	1.46544169855e-05	1.96357083109e-15	1.06420565769e-05	0.283039755003	4.50771479672e-08	0.00137355766758	7.28533666491e-51	7.93089018309e-61	9.28763029953e-12	1.93148535625e-20	4.23350948573e-28	1.52422032229e-54
UBF1	3	4.86191524717e-14	2.37699472267e-05	2.11252380774e-07	4.06733969107e-20	1.89027955572e-07	0.0292972807042	3.78445005841e-07	2.45094205745e-12	5.18627636022e-12	1.93064910965e-45	9.45064472635e-14	0.00737144274769	1.0743463769e-25	7.32455195389e-25	7.16103181415e-10
SPI1	113	3.98240189564e-14	7.21264672914e-08	0.0602250106568	2.00464850138e-44	9.45287987991e-19	5.0450477637e-33	0.231904020246	2.27995016075e-32	0.000164202620697	1.1312393741e-25	0.315300545222	2.40520433514e-09	3.42837998466e-08	6.40347978854e-08	0.37165679726
DMRTB	1	0.00837205199324	0.355052753748	4.50807566669e-06	5.02819419311e-07	0.499822625525	0.00631025925369	0.337638798801	0.0128974721417	0.0102203996421	0.0105613459618	0.0251221517764	0.000393099140172	0.0226740600493	0.201999036122	0.153994775099
KLF5	4	5.5218659979e-18	0.00822957819678	0.102745880646	6.54429676042e-23	7.5076566659e-14	4.86928048899e-08	0.00252551568397	8.3948543305e-09	6.51680130716e-12	1.90742925437e-49	6.56166744798e-28	6.54839369013e-06	1.02838784457e-19	3.60991956054e-35	2.88123245613e-40
KLF4	16	1.67201400705e-22	0.362874961085	0.00484033350705	8.97757731708e-30	2.62478190463e-12	2.54778337895e-08	0.00342970181145	4.16543116754e-09	2.76148405377e-15	1.05700185268e-63	1.44407055524e-41	1.44630451034e-09	5.18388342892e-27	8.43381853052e-48	3.32391069778e-43
KLF3	3	2.85481800441e-14	0.0119341624738	0.298529613189	1.75167214151e-25	8.45678061325e-16	1.13412423268e-14	0.383642608595	2.32016600622e-10	0.000269132976544	6.40098954664e-46	4.78885688897e-17	0.229493736757	1.84649811415e-14	3.01084807557e-27	4.25892275312e-18
KLF2	1	0.000247116626533	0.12976989079	0.241399996872	8.23011285087e-06	0.032786182242	0.393183022939	0.497414584681	0.0268002123068	1.27571549827e-05	5.08904188092e-13	1.55229048628e-07	0.102293034096	6.40459929842e-05	0.000189629253847	5.70902540505e-08
KLF1	3	1.12338992426e-11	0.465306892626	7.10873276148e-05	4.3375056158e-10	0.00259550439473	8.57168876352e-11	5.09879458442e-13	0.00132007939492	3.43032974087e-22	2.21642076131e-34	3.65031312912e-05	0.0345950422249	5.87469048839e-19	2.90776414353e-20	1.44685049006e-13
CNOT3	1	0.00753271629424	0.358072269792	0.398824313723	0.417380920803	0.0966266548002	0.00563169014321	0.0563034047422	2.5837602957e-07	0.0194734663693	0.123851738788	0.0137926287442	0.117879602832	0.00131684178992	5.76985981098e-05	1.3470543648e-05
RYBP	4	2.5657181393e-14	0.104337094412	0.225391425956	0.0103948191412	5.59791291254e-06	0.0703299643121	1.70266114601e-07	7.53585146768e-05	1.58353680425e-08	4.65633173208e-39	8.9640178579e-31	5.86816046619e-15	2.20720541411e-18	9.92145076712e-32	5.10752338265e-31
